"mode","prepost","pid3","pid_strong","pid_lean","pid7","sp_serv","sp_serv_biden","sp_serv_trump","jobs_living","jobs_living_biden","jobs_living_trump","envir_business","envir_business_biden","envir_business_trump","abortion","abortion_salience","abortion_biden","abortion_trump","bible","adjust_change","family_ties","covid_approval","covid_response_speed","mail_in_attitude","police_treat","bidenft","trumpft","bidenft_post","trumpft_post","pocket","repro","votepres","turnout","mail_in","stateFIPS","attention_poli","age","marital","educ","educ5","race","gender","income","ideology","retro","religion","union","trans","immigration","gun_diff","offensive_language","harassment","no_children","arrested","feminist","flag","shark","family_importance"
3,3,3,NA,1,5,4,1,6,5,1,6,4,1,6,3,4,4,2,2,3,1,1,3,4,3,0,70,50,85,2,1,2,1,-1,12,2,70,1,3,3,1,1,6,4,1,3,2,2,1,3,3,2,0,2,3,2,2,1
3,3,1,1,NA,1,7,7,7,1,1,7,3,1,7,4,3,2,3,1,4,1,4,5,1,4,100,0,100,0,2,4,1,1,-1,48,4,70,3,2,2,1,2,NA,5,4,2,2,5,4,1,NA,3,0,2,2,1,2,1
3,3,3,NA,1,5,2,7,3,6,2,6,5,2,7,3,2,4,2,2,3,1,2,3,4,1,30,30,50,30,1,2,2,1,-1,40,1,72,1,6,4,1,1,18,5,2,1,2,2,1,3,4,3,0,2,3,1,2,1
3,3,2,1,NA,7,2,7,2,6,1,6,7,1,7,2,5,4,1,1,5,1,1,3,7,4,0,100,0,100,2,3,2,1,-1,4,1,78,1,3,3,1,2,10,7,3,1,2,1,1,3,4,1,0,2,2,1,2,1
3,3,1,1,NA,1,5,3,7,3,3,7,1,3,7,3,2,4,1,1,5,1,4,5,1,2,70,0,100,0,3,5,1,1,-1,10,2,43,4,6,4,1,2,10,2,5,1,2,1,3,3,2,3,0,2,3,1,2,1
3,3,3,NA,2,4,5,4,5,3,3,6,2,3,7,3,3,3,2,2,5,4,4,5,2,1,85,30,100,0,2,5,NA,NA,-1,11,2,45,6,3,3,2,2,3,NA,5,1,2,1,4,1,3,3,0,1,3,2,2,4
3,3,1,2,NA,2,5,6,7,3,3,6,2,2,7,3,3,4,1,3,1,5,4,5,4,1,70,0,85,0,4,5,1,1,-1,18,2,44,1,6,4,1,2,21,3,5,3,2,6,4,1,2,3,0,2,1,1,2,5
3,3,1,1,NA,1,1,7,1,2,2,7,1,2,7,4,4,4,1,2,3,4,4,2,4,1,100,0,100,0,3,5,1,1,-1,32,3,50,6,4,3,3,2,6,4,5,2,2,6,4,3,3,2,0,1,1,2,2,4
3,3,3,NA,2,4,6,5,2,2,3,7,2,2,6,4,3,NA,1,NA,2,2,4,5,2,1,85,0,90,10,3,4,NA,NA,-1,12,4,NA,1,7,5,1,2,NA,4,4,5,2,3,3,1,2,2,0,2,3,2,2,2
3,3,3,NA,3,3,5,4,2,2,3,7,2,3,7,4,5,2,1,3,2,4,4,5,4,1,85,0,60,0,3,5,1,1,-1,54,3,33,1,6,4,1,2,15,3,5,5,2,5,4,3,1,3,1,2,3,1,2,4
3,3,2,1,NA,7,NA,7,4,7,1,7,3,2,4,3,2,1,3,2,2,3,1,3,7,4,0,100,60,100,3,2,NA,NA,-1,25,4,55,1,2,2,1,2,14,NA,2,2,1,2,1,3,4,3,1,2,3,2,2,3
3,3,2,2,NA,6,2,7,2,7,1,6,4,5,1,4,3,4,2,2,2,2,1,2,4,4,30,60,30,60,3,4,2,1,-1,39,4,28,1,6,4,1,2,20,5,4,4,2,3,1,1,3,1,1,2,3,2,2,2
3,3,2,1,NA,7,1,7,2,6,1,7,5,1,7,4,3,4,3,2,3,2,1,3,4,4,15,85,50,60,2,3,NA,NA,-1,51,2,34,6,7,5,1,2,22,5,3,2,2,5,1,3,3,3,1,1,2,1,2,2
3,3,2,1,NA,7,5,1,5,5,1,7,2,4,2,5,3,4,2,NA,2,4,1,3,7,4,0,85,15,100,3,1,2,1,-1,4,3,24,6,6,4,1,2,20,2,1,4,2,3,1,3,2,3,1,2,3,1,2,4
3,3,2,1,NA,7,5,1,5,4,1,4,6,2,5,1,5,3,1,1,4,1,1,3,7,4,0,100,0,100,4,2,2,1,-1,40,1,26,4,4,3,1,2,2,7,2,1,2,1,1,3,4,2,0,2,3,1,2,1
3,3,1,1,NA,1,6,6,1,3,3,7,2,3,7,4,2,3,1,3,2,2,4,5,4,1,70,0,70,0,3,4,1,1,-1,39,2,75,3,2,2,1,1,7,3,4,4,2,4,4,1,2,3,0,2,1,1,2,2
3,3,3,NA,2,4,4,7,4,5,2,6,5,2,4,4,3,3,3,3,3,2,3,5,6,4,30,60,0,70,3,5,2,1,-1,15,1,61,1,6,4,5,1,13,5,5,5,1,3,1,3,4,1,1,1,3,2,2,2
